diagnostic_id,dataset,condition_label,executable_condition,stage,seed,evidence_role,source_class,artifact_path,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_kappa,notes
faced_selective_seed42,FACED,Simplified selective,selective_paper,paper_protocol,42,development_diagnostic,new_development,output/icassp2027_revision/faced/selective_paper/seed_42,0.5118089104,0.5146039376,0.5111505987,0.4472724241,Seed 42 was used during method selection; exclude from confirmatory means
faced_full_seed42,FACED,Full fine-tuning,full,paper_protocol,42,development_reference,new_development,output/icassp2027_revision/faced/full/seed_42,0.5896403650,0.5938445177,0.5901427877,0.5353181553,Reference baseline at the development seed; exclude from confirmatory means
faced_specialist_opt_seed42,FACED,AttnRes + typed specialists,historical_candidate,opt,42,development_diagnostic,internal_development,output/icassp2027_historical_candidate/opt/faced/historical_candidate_opt/seed_42,0.5931293612,0.5983279383,0.5940926791,0.5387727017,Development-only optimization candidate; not a final paper condition
faced_depth_route_seed42,FACED,AttnRes + typed specialists + depth routing,historical_candidate,route,42,development_diagnostic,internal_development,output/icassp2027_historical_candidate/full/faced/historical_candidate_route/seed_42,0.5829307568,0.5877473210,0.5835630679,0.5271453590,Development-only routing control; explicit depth routing is excluded from the final method
isruc_selective_seed42,ISRUC,Simplified selective,selective_paper,paper_protocol,42,development_diagnostic,new_development,output/icassp2027_revision/isruc/selective_paper/seed_42,0.5371479217,0.4388535964,0.3983854038,0.3615974469,Seed 42 was used during method selection; exclude from confirmatory means
isruc_full_seed42,ISRUC,Full fine-tuning,full,paper_protocol,42,development_reference,new_development,output/icassp2027_revision/isruc/full/seed_42,0.7772619843,0.7710132980,0.7836154615,0.7202271701,Reference baseline at the development seed; exclude from confirmatory means
isruc_specialist_opt_seed42,ISRUC,AttnRes + typed specialists,historical_candidate,opt,42,development_diagnostic,internal_development,output/icassp2027_historical_candidate/opt/isruc/historical_candidate_opt/seed_42,0.7934879755,0.7984511311,0.8205095258,0.7679793759,Development-only optimization candidate; not a final paper condition
isruc_depth_route_seed42,ISRUC,AttnRes + typed specialists + depth routing,historical_candidate,route,42,development_diagnostic,internal_development,output/icassp2027_historical_candidate/full/isruc/historical_candidate_route/seed_42,0.7940058460,0.7953663139,0.8190669872,0.7633273415,Development-only routing control; explicit depth routing is excluded from the final method
